
AMDuProfPcm Report

Processor Name:,AMD Ryzen 9 7950X 16-Core Processor            
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.8.0-60-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,2
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7
0,1, 8 9 10 11 12 13 14 15

Socket-UMC Topology:
Socket, UMC(s)
0,0 1 

Core P0 state frequency (MHz):,4501.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Multiplex interval for umc (ms):,1
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,1
Version:,5.2.606.0 (PUBLIC)

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -a -A system -C -o /home/mdo/MDOLab_3_v2/adflow- 2.12.2 dev 128/Run/results_bs_sweep/bs_2/results_smt_off_pure_mpi/np_5_omp_1/mem_np5_omp1.csv -- mpirun --bind-to core --report-bindings -np 5 /home/mdo/packages_v2/mach/bin/python /home/mdo/MDOLab_3_v2/adflow- 2.12.2 dev 128/Run/analysis.py"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations
Topdown metrics are reported in "% slots"

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/21 16:12:46:541
CORE METRICS
Metric,System (Aggregated)
Utilization (%),33.13
System time (%),4.31
User time (%),94.64
System instructions (%),1.18
User instructions (%),98.82
Eff Freq (MHz),5344.42
IPC (Sys + User),1.79
IPC (Sys),0.48
IPC (User),1.85
CPI (Sys + User),0.56
CPI (Sys),2.07
CPI (User),0.54
Giga Instructions Per Sec,50.08
Locked Instructions (pti),0.00
Retired Branches (pti),80.87
Retired Branches Mispredicted (pti),0.37
Retired SSE/AVX Flops(GFLOPs),20.41
FP Dispatch Faults (pti),0.00
Retired Ops (pti),1052.48
SSE/AVX Instructions Retired (pti),511.10
MMX Instructions Retired (pti),0.00
x87 Instructions Retired (pti),0.02
Packed 512-bit FP Ops Retired (pto),8.71
Packed 256-bit FP Ops Retired (pto),78.22
Packed 128-bit FP Ops Retired (pto),250.95
Scalar FP Ops Retired (pto),174.16
MMX FP Ops Retired (pto),0.21
x87 FP Ops Retired (pto),0.08
Packed 512-bit FP Ops Retired (%),1.70
Packed 256-bit FP Ops Retired (%),15.27
Packed 128-bit FP Ops Retired (%),48.98
MMX/x87 FP Ops Retired (%),34.05
All DC Fills (pti),32.02
DC Fills From Same CCX (pti),30.63
DC Fills From different CCX in same node (pti),0.00
DC Fills From Local Memory (pti),1.39
DC Fills From Remote CCX Cache (pti),0.00
DC Fills From Remote Memory (pti),0.00
Remote DRAM Reads %,0.00
L1 DC Miss (pti),32.03
L2 Data Read Miss (pti),6.47
L1 IC Miss (pti),10.98
L2 Code Read Miss (pti),0.09
Total_Dispatch_Slots,379132793353308.00
SMT_Disp_contention,0.00
Frontend_Bound,10.66
Bad_Speculation,0.52
Backend_Bound,57.45
Retiring,31.34
Frontend_Bound.Latency,4.90
Frontend_Bound.BW,5.76
Bad_Speculation.Mispredicts,0.39
Bad_Speculation.Pipeline_Restarts,0.13
Backend_Bound.Memory,41.24
Backend_Bound.CPU,16.21
Retiring.Fastpath,29.95
Retiring.Microcode,1.39

L3 METRICS
Metric,System (Aggregated)
L3 Access,215417379343.00
L3 Miss,176045055538.00
L3 Access (pti),7.63
L3 Miss (pti),6.23
L3 Miss %,81.72
L3 Hit %,18.28
Ave L3 Miss Latency (ns),188.76
L3 Miss Latency From Local Memory or I/O (%),100.13
L3 Miss Latency From Remote Memory or I/O (%),0.00
L3 Miss Latency From another CCX in same node (%),0.07
L3 Miss Latency From another CCX in remote node (%),0.00
L3 Miss Latency From Local Extension Memory (CXL) (%),0.00
L3 Miss Latency From Remote Extension Memory (CXL) (%),0.00


